EwEVersion,"6.6.8.18072 (compiled 04/11/2022)"
79,0.01479906,,0.03458223,,0.3130324,,0.2418346,,0.0183097,,0.1801027,,0.2205902,,0.3428017,,0.1703162,,0.04872952,,3.049924,,0.7439427,,0.2593421,,0.1629934,,0.2749439,,0.00209985,,0.02764171,,0.003162223,,0.04684174,,0.2236482,,
80,0.01484358,,0.03413425,,0.3089618,,0.2433043,,0.01829902,,0.1873166,,0.224093,,0.3452641,,0.1700725,,0.04872845,,3.005764,,0.7448804,,0.2631935,,0.1645338,,0.2694731,,0.002141427,,0.02761889,,0.003270053,,0.04607661,,0.2214833,,
81,0.01488659,,0.03379742,,0.3044991,,0.2444552,,0.0182513,,0.1935316,,0.2275296,,0.3468918,,0.1697353,,0.04891629,,2.962811,,0.7457212,,0.2670136,,0.1659977,,0.2658869,,0.002183699,,0.02753433,,0.00338434,,0.04529588,,0.2316307,,
82,0.01492591,,0.03356912,,0.2995093,,0.2444853,,0.01817016,,0.1984598,,0.2308393,,0.3477887,,0.16931,,0.04927861,,2.922835,,0.7463979,,0.2707888,,0.1673043,,0.2641838,,0.002222791,,0.02736807,,0.003501151,,0.04451921,,0.2398444,,
83,0.01495999,,0.03343364,,0.2941319,,0.2439382,,0.01805997,,0.2016856,,0.2340522,,0.3480539,,0.1687983,,0.04979571,,2.886481,,0.7469704,,0.274509,,0.1684268,,0.2642453,,0.002256009,,0.02710176,,0.003612771,,0.04375535,,0.2425894,,
84,0.01499326,,0.03337572,,0.2886873,,0.2434779,,0.01792442,,0.2027242,,0.2372019,,0.3475488,,0.1682244,,0.05045367,,2.852104,,0.7475881,,0.2781717,,0.1694082,,0.2659116,,0.002286805,,0.02674116,,0.003709396,,0.04298605,,0.2428945,,
85,0.01502793,,0.03337755,,0.3360846,,0.2247259,,0.01776976,,0.2010974,,0.2865762,,0.5421508,,0.1675492,,0.05124136,,3.387384,,0.7483539,,0.2817764,,0.1702719,,0.261582,,0.002256003,,0.02353879,,0.003780521,,0.04221835,,0.234531,,
86,0.01506246,,0.03342504,,0.3252751,,0.2239024,,0.01760597,,0.1967098,,0.2897421,,0.51573,,0.1667479,,0.05214411,,3.329281,,0.7493656,,0.2853263,,0.1710563,,0.2660169,,0.002286599,,0.02318356,,0.003828091,,0.04149467,,0.2199926,,
87,0.01509702,,0.03350926,,0.3153879,,0.2229182,,0.01744121,,0.1896907,,0.2931069,,0.4941893,,0.1658298,,0.05314635,,3.283224,,0.7506846,,0.288818,,0.1717977,,0.2713523,,0.002317786,,0.02278772,,0.00385696,,0.040849,,0.2048155,,
88,0.01513132,,0.0336225,,0.3065481,,0.2218344,,0.0172823,,0.1804103,,0.296612,,0.4769591,,0.16481,,0.05422908,,3.250262,,0.75231,,0.2922446,,0.1725071,,0.2774022,,0.002349304,,0.02236755,,0.003871436,,0.0403079,,0.1949436,,
89,0.01516503,,0.03375869,,0.2988453,,0.2205638,,0.01713385,,0.1694444,,0.3001166,,0.4633631,,0.1637097,,0.05536994,,3.230175,,0.7541907,,0.2955958,,0.173166,,0.2839893,,0.002380375,,0.02193539,,0.003874336,,0.03988407,,0.1935521,,
90,0.01519725,0.01436654,0.03391192,0.04237446,0.292094,0.9310844,0.2187821,0.226279,0.01699835,0.01165152,0.1575316,,0.3034535,0.2054696,0.452741,0.8674921,0.1625523,0.2764885,0.05654205,0.1519319,3.221939,17.44905,0.7562327,0.7714424,0.2988609,0.7100542,0.1737305,0.2286627,0.2909727,0.2375299,0.002408734,0.0009982395,0.02149645,0.02280493,0.003866445,0.001266126,0.03957976,0.04974177,0.1970661,0.1384058,
91,0.01522669,,0.03407215,,0.2859528,,0.2161757,,0.01687628,,0.145404,,0.3063959,,0.4444889,,0.1613575,,0.05771249,,3.223732,,0.7583147,,0.3020317,,0.1741668,,0.2982219,,0.002430891,,0.02104821,,0.003845111,,0.03938628,,0.1957068,,
92,0.01525475,,0.03422635,,0.2807756,,0.2140672,,0.01676633,,0.1336008,,0.3086778,,0.4380338,,0.1601465,,0.05884623,,3.232553,,0.7603908,,0.3051076,,0.1745118,,0.3056341,,0.002447744,,0.02059885,,0.003806765,,0.0392793,,0.1946054,,
93,0.01528563,,0.03436898,,0.2763764,,0.2119863,,0.01666646,,0.1225001,,0.3100047,,0.4328556,,0.1589579,,0.05991985,,3.244661,,0.7624131,,0.3080949,,0.174827,,0.3131258,,0.002462734,,0.02016084,,0.003747774,,0.03922224,,0.1884388,,
94,0.01531914,,0.03449607,,0.2724572,,0.2100377,,0.01657761,,0.1128354,,0.3101149,,0.4287689,,0.1578095,,0.06090437,,3.260097,,0.7643495,,0.3110006,,0.1751626,,0.3206407,,0.002476996,,0.01975608,,0.00367556,,0.03922549,,0.1775861,,
95,0.0153553,,0.03460759,,0.2688217,,0.2084589,,0.01650122,,0.1051385,,0.3087896,,0.4256642,,0.1567249,,0.06177304,,3.279362,,0.7661595,,0.3138321,,0.1755551,,0.3280411,,0.002492449,,0.01940392,,0.003599634,,0.03930264,,0.1654693,,
96,0.0153934,,0.03470348,,0.2653079,,0.2073587,,0.01643887,,0.09965321,,0.3058855,,0.4234763,,0.1557296,,0.06250012,,3.303068,,0.7678119,,0.3165924,,0.1760149,,0.335294,,0.002509701,,0.01911478,,0.003528764,,0.03946564,,0.1579939,,
97,0.01543238,,0.03478293,,0.2680867,,0.2229667,,0.01639143,,0.09629162,,0.2743742,,0.2509121,,0.1649,,0.06306218,,4.710294,,0.7692463,,0.3192796,,0.1765208,,0.3374301,,0.002734684,,0.01755132,,0.003468382,,0.03971547,,0.1598996,,
98,0.01547082,,0.03484561,,0.2635418,,0.2219821,,0.01635949,,0.09481946,,0.2691818,,0.2638308,,0.1638457,,0.06343792,,4.672214,,0.7704111,,0.3218907,,0.1770228,,0.344215,,0.002751773,,0.0174391,,0.003421265,,0.04004495,,0.1715479,,
99,0.01550716,,0.03488808,,0.2586017,,0.2208866,,0.01634299,,0.09487016,,0.2627617,,0.2759514,,0.1629606,,0.06360783,,4.656556,,0.7712741,,0.3244231,,0.1774653,,0.3506058,,0.002765864,,0.0173676,,0.003386656,,0.04043822,,0.1822701,,
100,0.01554123,,0.03490462,,0.2533151,,0.2199825,,0.01634117,,0.09603297,,0.2555507,,0.2872457,,0.1622535,,0.06355643,,4.660616,,0.7718641,,0.3268782,,0.1778568,,0.3565725,,0.002776276,,0.01732654,,0.003361265,,0.04086944,,0.1866155,,
101,0.01557502,,0.03488885,,0.2478207,,0.2197231,,0.0163531,,0.09793621,,0.2481352,,0.2976224,,0.1617312,,0.06327724,,4.680266,,0.7722658,,0.3292645,,0.1782504,,0.3621946,,0.002785532,,0.01731165,,0.003341508,,0.04130675,,0.1857349,,
102,0.01561037,0.00407052,0.03483671,0.03637746,0.2420323,0.5305898,0.2196521,0.1223587,0.01637895,0.002048118,0.1003642,,0.2411452,0.2399225,0.3070095,0.2784704,0.1613934,0.09298279,0.06277512,0.1321106,4.712485,18.67918,0.7725529,0.8065687,0.3315948,0.6410503,0.178697,0.1689806,0.3674839,0.2252643,0.002796416,0.0001774647,0.01732372,0.08572022,0.003327887,0.002381523,0.0417316,0.05002909,0.1787369,0.1940609,
103,0.01564773,,0.0347522,,0.2359242,,0.2199755,,0.0164204,,0.1032952,,0.2351991,,0.3154215,,0.1612306,,0.06206608,,4.756429,,0.7728143,,0.3338805,,0.1792318,,0.3723862,,0.002812359,,0.01737163,,0.003327663,,0.04214962,,0.1689643,,
104,0.01568672,,0.03464033,,0.2294894,,0.2208155,,0.01647887,,0.1067286,,0.2308202,,0.3229204,,0.1612264,,0.06117443,,4.81155,,0.7731155,,0.336128,,0.1798574,,0.376828,,0.00283443,,0.01745827,,0.003348239,,0.04257318,,0.1617115,,
105,0.01572704,,0.0345075,,0.2227372,,0.2220999,,0.01655366,,0.1106316,,0.2283031,,0.3295555,,0.1613612,,0.0601324,,4.875962,,0.7734795,,0.3383337,,0.1805409,,0.3806373,,0.002862556,,0.01757917,,0.003393387,,0.04300412,,0.1658965,,
106,0.01576823,,0.03436244,,0.2156839,,0.2235177,,0.01664253,,0.1149555,,0.2277431,,0.3353709,,0.1616099,,0.0589795,,4.947039,,0.7738557,,0.340489,,0.1812051,,0.383509,,0.002895283,,0.01772468,,0.003463939,,0.04343579,,0.1882066,,
107,0.0158086,,0.03421235,,0.2083608,,0.22451,,0.01674227,,0.1195903,,0.2290581,,0.3404072,,0.1619371,,0.0577589,,5.021781,,0.7741384,,0.3425838,,0.1817327,,0.385069,,0.002927677,,0.01787551,,0.003556635,,0.04385449,,0.2125544,,
108,0.01584678,,0.0340558,,0.2011299,,0.2249753,,0.01684849,,0.1242743,,0.2320013,,0.3446587,,0.1622853,,0.05651272,,5.096326,,0.7742257,,0.3446105,,0.1820832,,0.3848802,,0.002955359,,0.01800826,,0.003663645,,0.04423706,,0.224118,,
109,0.01588523,,0.0338901,,0.1959007,,0.2151376,,0.0169561,,0.1287804,,0.2478564,,0.520832,,0.1725216,,0.05528318,,4.2012,,0.774074,,0.3465704,,0.1823212,,0.3769864,,0.002741866,,0.01439188,,0.003778731,,0.04454629,,0.230975,,
110,0.01592742,,0.03371516,,0.1894248,,0.2163244,,0.01706098,,0.1329687,,0.2531046,,0.5059772,,0.1726228,,0.05411696,,4.299274,,0.7736636,,0.3484723,,0.182509,,0.3721032,,0.002772389,,0.0145362,,0.003897076,,0.0447497,,0.2267215,,
111,0.01597265,,0.03354008,,0.1834515,,0.2174548,,0.0171619,,0.1369049,,0.2589535,,0.4936053,,0.1727055,,0.05305803,,4.381162,,0.7729858,,0.350323,,0.1826942,,0.3637591,,0.002807465,,0.0146546,,0.004022973,,0.04485921,,0.2150282,,
112,0.01602017,,0.03337619,,0.1780253,,0.2187337,,0.01725772,,0.1406858,,0.2650625,,0.4836423,,0.1727529,,0.0521408,,4.446371,,0.7719917,,0.3521264,,0.1828988,,0.351409,,0.002848078,,0.01474932,,0.004161499,,0.04489287,,0.2026957,,
113,0.0160691,,0.03323259,,0.1732507,,0.220189,,0.01734631,,0.1443672,,0.2711598,,0.4758551,,0.1727527,,0.05138871,,4.494452,,0.7707167,,0.3538773,,0.1831092,,0.3410374,,0.002893998,,0.01481792,,0.004314366,,0.0448635,,0.2002082,,
114,0.0161188,0.01101435,0.03311927,0.03931006,0.1693144,0.3955053,0.221727,0.2535605,0.01742464,0.04005208,0.1479859,,0.2770494,0.293562,0.4699173,0.9464159,0.1726995,0.1748142,0.0508162,0.1688675,4.525008,21.63365,0.7690968,0.8717394,0.3555633,0.6673642,0.1832665,0.1743015,0.3332581,0.2621793,0.002944523,0.002373592,0.01485526,0.03105067,0.004482885,0.007054132,0.04477663,0.05789438,0.215093,0.1411266,
115,0.01616776,,0.03304562,,0.1663685,,0.2228955,,0.01748956,,0.1515537,,0.2826297,,0.465486,,0.1725927,,0.05042936,,4.538065,,0.7671654,,0.3571692,,0.1832659,,0.3273302,,0.002996225,,0.01485162,,0.004665695,,0.04463394,,0.2360907,,
116,0.01621288,,0.03301302,,0.1643001,,0.2228611,,0.01753773,,0.1549834,,0.2878386,,0.4622151,,0.1724285,,0.05022357,,4.533818,,0.7648986,,0.3586797,,0.1830353,,0.3226882,,0.003041661,,0.01478831,,0.004854493,,0.04443319,,0.2406391,,
117,0.01625488,,0.03301316,,0.163651,,0.2236089,,0.01756565,,0.158036,,0.2926551,,0.4597035,,0.172201,,0.05018524,,4.511617,,0.7624288,,0.3600887,,0.1826254,,0.3189358,,0.003081865,,0.0146596,,0.005039607,,0.0441597,,0.2454121,,
118,0.01629988,,0.03304418,,0.1643157,,0.224182,,0.01757029,,0.1604531,,0.2970487,,0.4574984,,0.1719258,,0.05030959,,4.46956,,0.7598881,,0.3614015,,0.1820994,,0.3157754,,0.003123501,,0.01446531,,0.00520972,,0.0437781,,0.240095,,
119,0.01634645,,0.03310386,,0.1660014,,0.2246142,,0.01755286,,0.1622561,,0.300997,,0.4555186,,0.1715964,,0.05058473,,4.411842,,0.7573565,,0.3626221,,0.1815141,,0.3129814,,0.003166239,,0.01421671,,0.005365412,,0.04331763,,0.2257677,,
120,0.01639467,,0.03319379,,0.1684031,,0.2250881,,0.01751548,,0.1635044,,0.3044732,,0.4537036,,0.1712127,,0.05099733,,4.343132,,0.7549044,,0.3637568,,0.1809161,,0.3104255,,0.003212071,,0.01392697,,0.005509608,,0.04280809,,0.2079014,,
121,0.01644407,,0.0333118,,0.1313226,,0.1673567,,0.01746095,,0.1641803,,0.2612335,,0.4778953,,0.1853717,,0.05152966,,6.666637,,0.7525771,,0.3648074,,0.1803205,,0.2944176,,0.00327902,,0.01799542,,0.005645105,,0.04228397,,0.1950662,,
122,0.01649397,,0.03345563,,0.1363477,,0.1685388,,0.01739084,,0.1642595,,0.2637663,,0.4731101,,0.1843631,,0.05216193,,6.363214,,0.7504048,,0.365763,,0.1797052,,0.2925353,,0.003330906,,0.01740679,,0.005772793,,0.04176994,,0.1922019,,
123,0.01654291,,0.03362221,,0.1411521,,0.1692046,,0.0173079,,0.1636578,,0.2655689,,0.4689428,,0.1832868,,0.05287485,,6.117814,,0.7483722,,0.3666146,,0.1790144,,0.2903805,,0.003383697,,0.01680864,,0.005892669,,0.0412822,,0.201146,,
124,0.0165878,,0.03380415,,0.1454488,,0.1688025,,0.01721514,,0.1622651,,0.2665262,,0.4653493,,0.1821444,,0.05364662,,5.932312,,0.7464544,,0.3673521,,0.1781697,,0.2879848,,0.003429994,,0.01619599,,0.005998943,,0.04083151,,0.2063807,,
125,0.01662729,,0.03398495,,0.1492993,,0.1680676,,0.01711504,,0.15985,,0.2665209,,0.4622321,,0.1809402,,0.05445076,,5.802522,,0.7446949,,0.3679718,,0.1771803,,0.2853307,,0.00346632,,0.01556801,,0.006082584,,0.04041468,,0.2100369,,
126,0.01666642,0.02262731,0.03415624,0.04333005,0.152814,0.2141762,0.1672246,0.361181,0.01700938,0.04433038,0.1560766,,0.2654249,0.2029154,0.459361,1.027992,0.1796997,0.2164679,0.05527296,0.07092598,5.718327,12.9452,0.7431718,0.883185,0.3684824,0.6620454,0.1761139,0.1765044,0.282451,0.2601979,0.003498983,0.002972535,0.01493269,0.01867853,0.006132174,0.007837924,0.03999806,0.06532872,0.2108056,0.2080966,
127,0.01670631,,0.0343124,,0.1559607,,0.1660736,,0.01690276,,0.1509952,,0.2631535,,0.4567132,,0.1784485,,0.05609959,,5.673613,,0.7419363,,0.3688979,,0.1750448,,0.2794351,,0.003530272,,0.01430758,,0.006149046,,0.03958803,,0.2026809,,
128,0.01674618,,0.03445084,,0.1587444,,0.1647754,,0.01680106,,0.144984,,0.2596886,,0.4543848,,0.1772128,,0.0569144,,5.664325,,0.7410229,,0.3692342,,0.1740371,,0.2762488,,0.003561507,,0.01371228,,0.00614416,,0.03921591,,0.1889473,,
129,0.01678554,,0.03457127,,0.1612122,,0.163504,,0.01670953,,0.1385292,,0.2550946,,0.4524671,,0.176023,,0.05770017,,5.685906,,0.7404518,,0.3695057,,0.1731257,,0.2729131,,0.003594201,,0.01315987,,0.006128873,,0.03891117,,0.1760339,,
130,0.01682369,,0.03467352,,0.1633989,,0.1623083,,0.01663188,,0.1321191,,0.2495356,,0.4510269,,0.1749079,,0.05843823,,5.73329,,0.7402102,,0.369721,,0.1723061,,0.2693793,,0.003628617,,0.01265577,,0.006110836,,0.03869498,,0.1699657,,
131,0.01686003,,0.03475825,,0.1652905,,0.1611084,,0.0165701,,0.1261687,,0.243285,,0.4500965,,0.173891,,0.05910966,,5.801084,,0.7402459,,0.3698827,,0.1715358,,0.2655886,,0.003664444,,0.01220023,,0.006093477,,0.038577,,0.1750619,,
132,0.01689322,,0.03482259,,0.1668022,,0.1596479,,0.01652499,,0.1209271,,0.2367529,,0.4496914,,0.17297,,0.059695,,5.884229,,0.7404993,,0.3699911,,0.1707403,,0.2615153,,0.003698425,,0.01178796,,0.006075404,,0.03855884,,0.1860598,,
133,0.0169219,,0.03486124,,0.2015614,,0.1357075,,0.01649621,,0.1165131,,0.2150753,,0.4617907,,0.1811813,,0.06017375,,4.219936,,0.7409202,,0.3700468,,0.1698758,,0.2452461,,0.003664008,,0.009465496,,0.006054481,,0.03863201,,0.1907397,,
134,0.01694782,,0.03486586,,0.1999913,,0.1348684,,0.01648253,,0.1128544,,0.2098898,,0.4607167,,0.1802151,,0.06052638,,4.390051,,0.7415646,,0.3700634,,0.1689817,,0.241234,,0.003684278,,0.009222826,,0.006026988,,0.03877354,,0.1934239,,
135,0.01697521,,0.03483174,,0.1986545,,0.134149,,0.01648197,,0.1098438,,0.2056025,,0.4600466,,0.1794433,,0.06074454,,4.543915,,0.7424636,,0.370058,,0.1681147,,0.2368327,,0.003703149,,0.008996352,,0.005986801,,0.03894956,,0.189665,,
136,0.01700473,,0.0347571,,0.1976046,,0.1335364,,0.01649514,,0.107638,,0.202503,,0.4597555,,0.178873,,0.06082149,,4.679323,,0.7436214,,0.3700507,,0.1673288,,0.2321054,,0.003723226,,0.008791581,,0.005942519,,0.03916382,,0.1797816,,
137,0.01703696,,0.0346453,,0.1969823,,0.1332286,,0.01652303,,0.1064229,,0.2007394,,0.4598562,,0.1785072,,0.06075487,,4.79544,,0.7450428,,0.37006,,0.1666564,,0.2276248,,0.003748212,,0.008613521,,0.005907211,,0.0394282,,0.1680173,,
138,0.01707181,0.01831734,0.0345007,0.04741592,0.1969214,0.337018,0.1333166,0.3332097,0.01656597,0.04824457,0.1063106,,0.2003433,0.4380263,0.4603577,0.4843436,0.1783457,0.2696009,0.0605456,0.1258648,4.892183,9.011312,0.7467191,0.886737,0.3700969,0.5783449,0.1660976,0.1945684,0.2239254,0.2448658,0.003779379,0.004525352,0.008462502,0.03527616,0.00589252,0.01850956,0.0397533,0.0743074,0.1610985,0.1259463,
139,0.01710916,,0.03432969,,0.1974791,,0.1337676,,0.01662266,,0.1073111,,0.2012608,,0.4612239,,0.1783835,,0.06019938,,4.969424,,0.74858,,0.3701617,,0.165616,,0.2213259,,0.003816867,,0.008334978,,0.005905047,,0.04013837,,0.166059,,
140,0.01714833,,0.03414097,,0.1985552,,0.1343446,,0.01669074,,0.1093704,,0.2033271,,0.4623953,,0.1786088,,0.05972728,,5.027221,,0.7505896,,0.3702479,,0.1651384,,0.219966,,0.003858485,,0.008224594,,0.005946859,,0.04057438,,0.1846945,,
141,0.01718719,,0.03394189,,0.1998437,,0.1348549,,0.01676701,,0.1123507,,0.2063353,,0.4637928,,0.1789991,,0.0591442,,5.065745,,0.7526967,,0.3703465,,0.1645765,,0.2198566,,0.003897407,,0.008120849,,0.006012997,,0.04104498,,0.2010989,,
142,0.01722502,,0.03373433,,0.2012507,,0.1354673,,0.01684721,,0.1160044,,0.210058,,0.4652682,,0.1795198,,0.05846738,,5.084493,,0.7548866,,0.3704515,,0.1639216,,0.2209544,,0.003929943,,0.008013789,,0.006092879,,0.04152365,,0.209536,,
143,0.01726524,,0.03351806,,0.2028236,,0.1365177,,0.01692656,,0.1200533,,0.2142547,,0.4665968,,0.1801354,,0.057722,,5.081833,,0.7572468,,0.3705662,,0.1632217,,0.2231686,,0.003961186,,0.007898142,,0.006174084,,0.04197044,,0.2125311,,
144,0.01731016,,0.03329479,,0.2042582,,0.1376669,,0.017002,,0.1243383,,0.218698,,0.4676444,,0.1808079,,0.05694126,,5.058286,,0.7597734,,0.3707,,0.1625274,,0.226356,,0.0039954,,0.007772855,,0.006251231,,0.04236166,,0.2062477,,
145,0.01735936,,0.03307477,,0.1490955,,0.144799,,0.01707248,,0.1288768,,0.2576166,,0.3963802,,0.1905117,,0.05616193,,4.37314,,0.7625118,,0.3708614,,0.1618827,,0.222957,,0.004748902,,0.007190444,,0.006331012,,0.04270024,,0.1945454,,
146,0.01741202,,0.03286905,,0.1534644,,0.1464955,,0.01713632,,0.1336792,,0.2622281,,0.4046391,,0.1909645,,0.05541792,,4.35832,,0.7654145,,0.3710461,,0.1613019,,0.2278288,,0.004792988,,0.007074587,,0.006420521,,0.04299367,,0.1839915,,
147,0.01746733,,0.03268832,,0.1575735,,0.1483862,,0.01719166,,0.138718,,0.2666332,,0.4117825,,0.1914039,,0.05473826,,4.329528,,0.7684693,,0.3712472,,0.160767,,0.2331019,,0.004845656,,0.006953257,,0.006523129,,0.04324337,,0.1836645,,
148,0.01752438,,0.03254347,,0.1613665,,0.1502257,,0.01723599,,0.1439359,,0.2707153,,0.4178716,,0.1918006,,0.05414696,,4.289329,,0.7715771,,0.37145,,0.1602226,,0.2386333,,0.004905336,,0.006824406,,0.006639341,,0.04344429,,0.2002308,,
149,0.01758087,,0.03244296,,0.1647562,,0.1517048,,0.01726684,,0.1492302,,0.2744086,,0.4229672,,0.1921301,,0.05366137,,4.24039,,0.7747013,,0.3716367,,0.1595771,,0.2442632,,0.004964418,,0.006683566,,0.00676456,,0.04358774,,0.2202733,,
150,0.0176337,0.01508487,0.03238593,0.04392316,0.1676654,0.1719508,0.152383,0.2398257,0.0172816,0.02871917,0.1543851,,0.2776323,0.4845971,0.4271034,0.7720804,0.1923662,0.2643532,0.05328865,0.2479496,4.184834,51.95755,0.7777368,0.7719851,0.3717901,0.5202585,0.1587879,0.1855195,0.2498679,0.283597,0.005011437,0.008030281,0.006523975,0.01205363,0.00688609,0.009465803,0.04366016,0.06956667,0.2261577,0.1693481,
151,0.01768461,,0.03236426,,0.1704261,,0.1534056,,0.01727767,,0.1590678,,0.2803156,,0.4302399,,0.1924868,,0.05302913,,4.123142,,0.7807686,,0.3719042,,0.1579122,,0.2553874,,0.005050778,,0.006345406,,0.006991759,,0.04363494,,0.231654,,
152,0.01773921,,0.03237448,,0.1730928,,0.1540839,,0.01725356,,0.1629769,,0.2823555,,0.4323008,,0.192492,,0.05288865,,4.055034,,0.7837438,,0.3719839,,0.1570115,,0.2608175,,0.005092203,,0.006149809,,0.00707054,,0.04347741,,0.2265339,,
153,0.01779586,,0.03241627,,0.1757174,,0.1544761,,0.01721219,,0.1660733,,0.2836486,,0.4334653,,0.1923819,,0.05286764,,3.985514,,0.7866685,,0.3720346,,0.1561492,,0.2660956,,0.00513637,,0.005945754,,0.007130795,,0.04320991,,0.2129917,,
154,0.01785403,,0.03249195,,0.178405,,0.154732,,0.0171573,,0.1683681,,0.2841004,,0.4339258,,0.1921688,,0.05296255,,3.919192,,0.7894325,,0.3720617,,0.1553652,,0.2711563,,0.005185714,,0.005740451,,0.007181586,,0.04285892,,0.1972024,,
155,0.01791282,,0.0326026,,0.1812463,,0.1549076,,0.01709278,,0.1698867,,0.2836317,,0.4338823,,0.1918692,,0.05316494,,3.859967,,0.7919914,,0.3720643,,0.1546624,,0.2759265,,0.005240028,,0.005538564,,0.007227776,,0.04245266,,0.1883284,,
156,0.01797144,,0.03274892,,0.1840427,,0.154948,,0.01702198,,0.1706429,,0.2821618,,0.4335122,,0.191499,,0.05346335,,3.810363,,0.7941722,,0.372034,,0.1540006,,0.2803769,,0.005298387,,0.005342842,,0.007268439,,0.04201325,,0.1917977,,
157,0.01802842,,0.03292675,,0.1982592,,0.1302668,,0.01694811,,0.1705646,,0.3481931,,0.6192622,,0.1774803,,0.05384369,,3.822883,,0.7958731,,0.3719597,,0.1533021,,0.2796879,,0.005607235,,0.003849528,,0.007297121,,0.04155905,,0.2048758,,
158,0.01808046,,0.03312768,,0.2000051,,0.1296801,,0.01687427,,0.1695679,,0.3426852,,0.5902209,,0.1773515,,0.05428806,,3.793316,,0.7968934,,0.3718328,,0.1525034,,0.283433,,0.005651675,,0.003736138,,0.007308265,,0.04110419,,0.2101081,,
159,0.01812677,,0.03333719,,0.201877,,0.1290551,,0.01680264,,0.16748,,0.3363269,,0.5667737,,0.177121,,0.05477414,,3.774825,,0.7972161,,0.3716502,,0.1516325,,0.2866438,,0.005681089,,0.003623483,,0.007295465,,0.04064991,,0.2128453,,
160,0.01817252,,0.03354882,,0.2040546,,0.1283673,,0.01673449,,0.1640385,,0.3293341,,0.5477269,,0.1768191,,0.0552903,,3.763705,,0.7967551,,0.3714213,,0.1507478,,0.2893248,,0.005705217,,0.003512828,,0.007247615,,0.04017239,,0.2101611,,
161,0.01821814,,0.03375645,,0.2064498,,0.1275225,,0.01667377,,0.1593622,,0.3220421,,0.5322422,,0.1764691,,0.0558238,,3.759866,,0.7954903,,0.3711618,,0.1499125,,0.291472,,0.005726676,,0.003408269,,0.007169971,,0.03969168,,0.1991796,,
162,0.0182636,0.01460599,0.03395811,0.04115528,0.2090052,0.1017753,0.1266598,0.1552846,0.01662498,0.02530564,0.15381,,0.3148851,0.4013757,0.5196629,0.5913222,0.1760928,0.1823578,0.05636137,0.4467047,3.764251,25.69018,0.7933905,0.7048904,0.3708897,0.5108806,0.1491769,0.1892136,0.2930357,0.2930795,0.005749362,0.008119014,0.003314085,0.00203843,0.007075894,0.01413841,0.03924336,0.05864858,0.1839064,0.1504901,
163,0.01830867,,0.03415251,,0.2117035,,0.1259124,,0.01659187,,0.1478408,,0.3082958,,0.5094546,,0.1757149,,0.05688791,,3.777762,,0.7904786,,0.37062,,0.1485641,,0.2939268,,0.005775348,,0.003232766,,0.006980007,,0.03886421,,0.1710502,,
164,0.0183532,,0.03433854,,0.2144973,,0.1253113,,0.01657622,,0.1418807,,0.3026777,,0.5011545,,0.1753596,,0.05738733,,3.800367,,0.7868247,,0.3703597,,0.1480627,,0.2940056,,0.005804967,,0.00316482,,0.006892544,,0.03857912,,0.1667649,,
